Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,latitude,longitude
86,Netherlands,75.66,36.06,57.1,65.49,76.35,87.99,Europe,52.2434979,5.6343227
87,New Zealand,74.52,34.44,55.73,72.04,70.05,83.63,Oceania,-41.5000831,172.8344077
88,Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63,North America,12.6090157,-85.2936911
89,Nigeria,30.49,35.99,33.07,33.65,20.92,9.34,Africa,9.6000359,7.9999721
90,North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44,Europe,41.6171214,21.7168387
91,Norway,100.9,34.68,69.86,97.31,105.49,83.11,Europe,61.1529386,8.7876653
92,Oman,49.42,16.77,34.11,46.51,43.24,84.24,Asia,21.0000287,57.0036901
93,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63,Asia,30.3308401,71.247499
94,Palestine,58.11,11.01,36.03,51.23,44.58,39.84,Asia,31.462420950000002,34.262716572130714
95,Panama,51.43,21.75,37.51,52.16,43.38,33.09,North America,8.559559,-81.1308434
96,Paraguay,30.2,10.04,20.75,25.45,24.19,26.08,South America,-23.3165935,-58.1693445
97,Peru,32.53,11.22,22.54,30.71,21.53,28.17,South America,-6.8699697,-75.0458515
98,Philippines,37.06,9.59,24.18,37.84,20.61,21.47,Asia,12.7503486,122.7312101
99,Poland,38.95,14.45,27.46,32.42,33.52,59.95,Europe,52.215933,19.134422
100,Portugal,47.94,20.73,35.19,39.01,40.26,46.8,Europe,39.6621648,-8.1353519
101,Puerto Rico,66.53,18.4,43.97,69.6,55.6,72.78,North America,18.2247706,-66.4858295
102,Qatar,62.81,48.2,55.96,54.97,63.01,93.67,Asia,25.3336984,51.2295295
103,Romania,35.24,10.17,23.49,31.38,30.02,48.12,Europe,45.9852129,24.6859225
104,Russia,35.26,13.09,24.87,29.86,34.56,37.41,Europe,64.6863136,97.7453061
105,Rwanda,31.62,15.9,24.25,27.71,27.99,26.82,Africa,-1.9646631,30.0644358
106,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85,Asia,25.6242618,42.3528328
107,Senegal,50.25,22.97,37.46,42.17,46.22,23.45,Africa,14.4750607,-14.4529612
108,Serbia,36.21,8.73,23.33,28.18,29.24,37.83,Europe,44.1534121,20.55144
109,Seychelles,65.93,32.35,50.19,61.55,77.01,19.43,Africa,-4.6574977,55.4540146
110,Singapore,83.98,66.43,75.75,77.08,61.17,91.34,Asia,1.357107,103.8194992
111,Slovakia,44.68,16.11,31.29,39.74,36.08,54.7,Europe,48.7411522,19.4528646
112,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48,Europe,46.1199444,14.8153333
113,Somalia,34.58,5.16,20.79,39.39,26.65,29.4,Africa,8.3676771,49.083416
114,South Africa,42.09,16.6,30.14,34.78,41.33,78.36,Africa,-28.8166236,24.991639
115,South Korea,73.22,20.02,48.28,91.95,42.1,76.85,Asia,36.638392,127.6961188
116,Spain,53.88,21.25,38.58,45.69,53.96,70.04,Europe,39.3260685,-4.8379791
117,Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27,Asia,7.877395849999999,80.66247852355892
118,Suriname,51.78,9.71,32.06,45.92,79.61,13.44,South America,4.1413025,-56.0771187
119,Sweden,71.74,25.86,50.23,65.78,72.61,98.14,Europe,59.6749712,14.5208584
120,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44,Europe,46.7985624,8.2319736
121,Syria,28.75,5.17,17.7,29.34,22.81,6.59,Asia,34.6401861,39.0494106
122,Taiwan,62.35,17.69,41.42,76.19,29.42,58.35,Asia,23.9739374,120.9820179
123,Tanzania,32.81,12.36,23.23,30.04,24.86,15.97,Africa,-6.5247123,35.7878438
124,Thailand,43.21,14.69,29.84,45.15,22.59,31.56,Asia,14.8971921,100.83273
125,Trinidad and Tobago,54.88,15.97,36.64,53.96,53.74,38.47,North America,10.7466905,-61.0840075
126,Tunisia,27.87,5.32,17.3,27.36,15.96,27.83,Africa,33.8439408,9.400138
127,Turkey,28.31,6.63,18.15,22.64,18.4,32.88,Asia,38.9597594,34.9249653
128,Uganda,33.5,9.19,22.1,31.0,24.85,11.41,Africa,1.5333554,32.2166578
